Designator,Mid X,Mid Y,Rotation,Layer
AE1,135.28,-79.125,180.0,top
C1,133.595,-99.66,90.0,top
C10,131.316048,-107.858952,225.0,top
C11,135.705,-88.225,90.0,top
C12,135.355,-89.275,180.0,top
C13,140.145,-96.035,270.0,top
C14,135.22,-95.88,90.0,top
C15,132.55,-99.31,180.0,top
C16,131.99,-121.57,180.0,top
C17,138.72,-114.125,0.0,top
C18,138.5,-112.415,0.0,top
C19,138.31,-111.22,0.0,top
C2,133.225,-95.765,90.0,top
C20,138.395,-110.41,0.0,top
C21,135.355,-91.375,0.0,top
C3,133.18,-94.07,270.0,top
C4,133.165,-91.675,90.0,top
C5,135.69,-98.83,180.0,top
C6,135.075,-97.555,270.0,top
C7,140.128952,-101.136048,45.0,top
C8,136.600589,-110.604411,225.0,top
C9,135.991274,-109.873726,225.0,top
J1,126.085,-103.935,0.0,top
J2,144.03,-103.935,0.0,top
J3,138.74,-91.565,180.0,top
L1,133.225,-97.17,270.0,top
L2,135.705,-86.125,270.0,top
L3,136.85,-99.25,90.0,top
L4,136.055,-87.175,180.0,top
L5,135.705,-90.325,270.0,top
R1,136.55,-93.93,90.0,top
R2,132.705,-98.61,0.0,top
R3,133.965,-122.255,270.0,top
R4,136.85,-122.175,270.0,top
R5,132.75,-109.485,90.0,top
R6,133.45,-109.485,90.0,top
SW1,131.01,-88.2,270.0,top
SW2,131.015,-95.145,270.0,top
U1,135.134214,-104.43,45.0,top
U3,137.67,-96.42,0.0,top
U4,134.925,-117.32,0.0,top
U5,135.245,-126.26,0.0,top
